seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	61542539	61542616	78	*	X0080	4774	61542946	61928460	385515	+	329	upstream	329	NFIA
chr1	70032923	70032950	28	*	X0084	57554	70032868	70589171	556304	+	0	inside	54	LRRC7
chr1	70032992	70033007	16	*	X0085	57554	70032868	70589171	556304	+	0	inside	123	LRRC7
chr1	70033040	70033088	49	*	X0086	57554	70032868	70589171	556304	+	0	inside	171	LRRC7
chr1	100435313	100435466	154	*	X0092	23443	100435345	100492534	57190	+	0	overlapStart	0	SLC35A3
chr1	109656202	109656273	72	*	X0093	127003	109648573	109656479	7907	-	0	inside	205	C1orf194
chr1	109656202	109656273	72	*	X0093	57535	109656585	109749403	92819	+	311	upstream	311	ELAPOR1
chr1	109656435	109656505	71	*	X0094	127003	109648573	109656479	7907	-	0	overlapStart	0	C1orf194
chr1	109656435	109656505	71	*	X0094	57535	109656585	109749403	92819	+	79	upstream	79	ELAPOR1
chr1	109656544	109656702	159	*	X0095	127003	109648573	109656479	7907	-	64	upstream	64	C1orf194
chr1	109656544	109656702	159	*	X0095	57535	109656585	109749403	92819	+	0	overlapStart	0	ELAPOR1
chr1	110052534	110052534	1	*	X0096	57463	110049446	110052336	2891	-	197	upstream	197	AMIGO1
chr1	116961085	116961192	108	*	X0102	84852	116935487	116961244	25758	-	0	inside	51	ATP1A1-AS1
chr1	151020032	151020043	12	*	X0106	54964	151020259	151023871	3613	+	215	upstream	215	C1orf56
chr1	151020055	151020075	21	*	X0107	54964	151020259	151023871	3613	+	183	upstream	183	C1orf56
chr1	151809262	151809283	22	*	X0108	100132111	151810945	151816641	5697	+	1661	upstream	1661	C2CD4D-AS1
chr1	153508688	153508803	116	*	X0109	6277	153507076	153508717	1642	-	0	overlapStart	0	S100A6
chr1	153508870	153508880	11	*	X0110	6277	153507076	153508717	1642	-	152	upstream	152	S100A6
chr1	153517953	153517988	36	*	X0111	6275	153516095	153518282	2188	-	0	inside	293	S100A4
chr1	153518157	153518232	76	*	X0112	6275	153516095	153518282	2188	-	0	inside	49	S100A4
chr1	155098438	155098458	21	*	X0118	1942	155100349	155107386	7038	+	1890	upstream	1890	EFNA1
chr1	155098494	155098530	37	*	X0119	1942	155100349	155107386	7038	+	1818	upstream	1818	EFNA1
chr1	155098648	155098858	211	*	X0120	1942	155100349	155107386	7038	+	1490	upstream	1490	EFNA1
chr1	155098889	155099090	202	*	X0121	1942	155100349	155107386	7038	+	1258	upstream	1258	EFNA1
chr1	155099251	155099265	15	*	X0122	1942	155100349	155107386	7038	+	1083	upstream	1083	EFNA1
chr1	155099335	155099402	68	*	X0123	1942	155100349	155107386	7038	+	946	upstream	946	EFNA1
chr1	155829658	155829672	15	*	X0125	54856	155719510	155829191	109682	-	466	upstream	466	GON4L
chr1	155829736	155829847	112	*	X0126	54856	155719510	155829191	109682	-	544	upstream	544	GON4L
chr1	156561344	156561426	83	*	X0127	128240	156561558	156566601	5044	+	131	upstream	131	NAXE
chr1	161016165	161016167	3	*	X0134	7391	161009041	161015769	6729	-	395	upstream	395	USF1
chr1	161016225	161016251	27	*	X0135	7391	161009041	161015769	6729	-	455	upstream	455	USF1
chr1	177139819	177139871	53	*	X0144	57795	177140633	177251558	110926	+	761	upstream	761	BRINP2
chr1	182573487	182573500	14	*	X0151	6004	182567758	182573548	5791	-	0	inside	47	RGS16
chr1	184006719	184006832	114	*	X0154	23127	183898796	184006878	108083	-	0	inside	45	COLGALT2
chr1	184006854	184006872	19	*	X0155	23127	183898796	184006878	108083	-	0	inside	5	COLGALT2
chr1	184020654	184020705	52	*	X0156	116461	184020811	184043344	22534	+	105	upstream	105	TSEN15
chr1	205719765	205719778	14	*	X0169	64710	205681947	205719372	37426	-	392	upstream	392	NUCKS1
chr1	209848469	209848714	246	*	X0172	50486	209848670	209849735	1066	+	0	overlapStart	0	G0S2
chr1	210407500	210407765	266	*	X0173	574036	210404804	210407466	2663	-	33	upstream	33	SERTAD4-AS1
chr1	224622799	224622862	64	*	X0177	80232	224572845	224622001	49157	-	797	upstream	797	WDR26
chr1	224803676	224803721	46	*	X0180	149111	224804179	224928249	124071	+	457	upstream	457	CNIH3
chr1	226070236	226070326	91	*	X0181	9725	226033233	226070420	37188	-	0	inside	93	TMEM63A
chr1	231298408	231298611	204	*	X0188	440730	231298674	231357314	58641	+	62	upstream	62	TRIM67
chr1	235292300	235292362	63	*	X0192	677802	235291118	235291252	135	-	1047	upstream	1047	SNORA14B
chr1	235292300	235292362	63	*	X0192	9804	235272658	235292256	19599	-	43	upstream	43	TOMM20
chr1	235292411	235292458	48	*	X0193	677802	235291118	235291252	135	-	1158	upstream	1158	SNORA14B
chr1	235292411	235292458	48	*	X0193	9804	235272658	235292256	19599	-	154	upstream	154	TOMM20
chr1	236228803	236228836	34	*	X0195	4811	236139132	236228481	89350	-	321	upstream	321	NID1
chr1	244080858	244080869	12	*	X0197	339529	244080704	244210619	129916	+	0	inside	153	LINC02774
chr2	11273228	11273276	49	*	X0213	130813	11273179	11286916	13738	+	0	inside	48	C2orf50
chr2	11273228	11273276	49	*	X0213	285150	11239977	11272347	32371	-	880	upstream	880	FLJ33534
chr2	11810243	11810268	26	*	X0217	23620	11798304	11810329	12026	-	0	inside	60	NTSR2
chr2	15731741	15731837	97	*	X0220	1653	15731745	15771235	39491	+	0	overlapStart	0	DDX1
chr2	25897010	25897026	17	*	X0224	1838	25600067	25896516	296450	-	493	upstream	493	DTNB
chr2	26785217	26785278	62	*	X0225	339778	26785481	26802397	16917	+	202	upstream	202	FAM166C
chr2	27341944	27342250	307	*	X0227	10669	27322221	27341995	19775	-	0	overlapStart	0	CGREF1
chr2	47404059	47404101	43	*	X0234	285051	47293080	47403740	110661	-	318	upstream	318	STPG4
chr2	47404059	47404101	43	*	X0234	805	47387221	47403740	16520	-	318	upstream	318	CALM2
chr2	54951212	54951214	3	*	X0235	400954	54952149	55199156	247008	+	934	upstream	934	EML6
chr2	69664736	69664766	31	*	X0241	27247	69623245	69664760	41516	-	0	overlapStart	0	NFU1
chr2	96810897	96810907	11	*	X0254	1844	96808908	96811179	2272	-	0	inside	271	DUSP2
chr2	96810952	96810977	26	*	X0255	1844	96808908	96811179	2272	-	0	inside	201	DUSP2
chr2	100939189	100939210	22	*	X0258	164832	100889753	100939195	49443	-	0	overlapStart	0	LONRF2
chr2	131485646	131485652	7	*	X0267	344561	131486643	131487909	1267	+	990	upstream	990	GPR148
chr2	170219289	170219495	207	*	X0273	4036	169983619	170219122	235504	-	166	upstream	166	LRP2
chr2	172949549	172949595	47	*	X0275	1745	172950208	172954401	4194	+	612	upstream	612	DLX1
chr2	172949655	172949665	11	*	X0276	1745	172950208	172954401	4194	+	542	upstream	542	DLX1
chr2	172967283	172967295	13	*	X0277	1746	172964166	172967478	3313	-	0	inside	182	DLX2
chr2	172967360	172967378	19	*	X0278	1746	172964166	172967478	3313	-	0	inside	99	DLX2
chr2	172967486	172967497	12	*	X0279	1746	172964166	172967478	3313	-	7	upstream	7	DLX2
chr2	176994274	176994360	87	*	X0281	3234	176994422	176997423	3002	+	61	upstream	61	HOXD8
chr2	198668953	198668967	15	*	X0286	5334	198669426	199014608	345183	+	458	upstream	458	PLCL1
chr2	198669031	198669043	13	*	X0287	5334	198669426	199014608	345183	+	382	upstream	382	PLCL1
chr2	208890378	208890516	139	*	X0291	389072	208686012	208890284	204273	-	93	upstream	93	PLEKHM3
chr2	210636195	210636251	57	*	X0292	285175	210636717	210864024	227308	+	465	upstream	465	UNC80
chr2	210636372	210636404	33	*	X0293	285175	210636717	210864024	227308	+	312	upstream	312	UNC80
chr2	214149471	214149500	30	*	X0294	100130451	214141277	214148929	7653	-	541	upstream	541	SPAG16-DT
chr2	216176817	216176932	116	*	X0295	471	216176679	216214496	37818	+	0	inside	137	ATIC
chr2	216176946	216176976	31	*	X0296	471	216176679	216214496	37818	+	0	inside	266	ATIC
chr2	219262885	219262907	23	*	X0297	58190	219263061	219270664	7604	+	153	upstream	153	CTDSP1
chr2	219263029	219263029	1	*	X0298	58190	219263061	219270664	7604	+	31	upstream	31	CTDSP1
chr2	219263058	219263110	53	*	X0299	58190	219263061	219270664	7604	+	0	overlapStart	0	CTDSP1
chr2	219866418	219866661	244	*	X0305	100129175	219866937	219880444	13508	+	275	upstream	275	LOC100129175
chr2	219866418	219866661	244	*	X0305	494324	219866367	219866430	64	-	0	overlapStart	0	MIR375
chr2	220362522	220362800	279	*	X0306	29926	220363587	220371718	8132	+	786	upstream	786	GMPPA
chr2	227700532	227700569	38	*	X0311	84236	227700671	227863923	163253	+	101	upstream	101	RHBDD1
chr2	233251234	233251525	292	*	X0314	347694	233250460	233251754	1295	-	0	inside	228	ECEL1P2
chr2	238395237	238395263	27	*	X0320	79083	238395053	238463961	68909	+	0	inside	183	MLPH
chr2	241506131	241506166	36	*	X0324	57140	241508004	241518149	10146	+	1837	upstream	1837	RNPEPL1
chr2	242498935	242499132	198	*	X0329	100379249	242483801	242498558	14758	-	376	upstream	376	BOK-AS1
chr3	9404583	9404609	27	*	X0332	25917	9404717	9428475	23759	+	107	upstream	107	THUMPD3
chr3	12045250	12045358	109	*	X0333	6854	12045862	12233532	187671	+	503	upstream	503	SYN2
chr3	14165759	14165787	29	*	X0337	79188	14166440	14185180	18741	+	652	upstream	652	TMEM43
chr3	24563875	24563894	20	*	X0339	100616448	24562853	24562926	74	-	948	upstream	948	NA
chr3	28282866	28282907	42	*	X0342	152100	28283124	28361263	78140	+	216	upstream	216	CMC1
chr3	36422092	36422096	5	*	X0344	6769	36422097	36589496	167400	+	0	upstream	0	STAC
chr3	38388170	38388295	126	*	X0347	9942	38388251	38456467	68217	+	0	overlapStart	0	XYLB
chr3	39851443	39851462	20	*	X0351	25924	39851303	40301811	450509	+	0	inside	139	MYRIP
chr3	45187940	45187966	27	*	X0355	64866	45123769	45187914	64146	-	25	upstream	25	CDCP1
chr3	45635946	45635949	4	*	X0359	8994	45636323	45722755	86433	+	373	upstream	373	LIMD1
chr3	50378446	50378496	51	*	X0369	11186	50367217	50378367	11151	-	78	upstream	78	RASSF1
chr3	50388057	50388196	140	*	X0370	10641	50384919	50388486	3568	-	0	inside	289	NPRL2
chr3	50388057	50388196	140	*	X0370	11068	50388297	50391496	3200	+	100	upstream	100	CYB561D2
chr3	51704894	51705056	163	*	X0371	51368	51705191	51738339	33149	+	134	upstream	134	TEX264
chr3	52009113	52009141	29	*	X0372	100526760	52009042	52023218	14177	+	0	inside	70	ABHD14A-ACY1
chr3	52009113	52009141	29	*	X0372	25864	52009042	52015216	6175	+	0	inside	70	ABHD14A
chr3	58318406	58318526	121	*	X0374	54899	58318617	58410878	92262	+	90	upstream	90	PXK
chr3	69063133	69063183	51	*	X0377	285203	69024368	69062774	38407	-	358	upstream	358	EOGT
chr3	72496550	72496738	189	*	X0381	23429	72423744	72495774	72031	-	775	upstream	775	RYBP
chr3	112360111	112360160	50	*	X0382	151887	112323409	112359977	36569	-	133	upstream	133	CCDC80
chr3	120170554	120170572	19	*	X0385	11167	120113061	120169918	56858	-	635	upstream	635	FSTL1
chr3	135684149	135684166	18	*	X0397	5523	135684515	135866752	182238	+	348	upstream	348	PPP2R3A
chr3	135684275	135684316	42	*	X0398	5523	135684515	135866752	182238	+	198	upstream	198	PPP2R3A
chr3	142683063	142683086	24	*	X0399	344838	142680074	142682178	2105	-	884	upstream	884	PAQR9
chr3	145879322	145879329	8	*	X0400	5352	145787228	145879282	92055	-	39	upstream	39	PLOD2
chr3	149374682	149374793	112	*	X0402	100128025	149375997	149379149	3153	+	1203	upstream	1203	WWTR1-AS1
chr3	183947118	183947142	25	*	X0413	90113	183948317	183960117	11801	+	1174	upstream	1174	VWA5B2
chr3	183947171	183947193	23	*	X0414	90113	183948317	183960117	11801	+	1123	upstream	1123	VWA5B2
chr3	183947426	183947550	125	*	X0415	90113	183948317	183960117	11801	+	766	upstream	766	VWA5B2
chr3	183947628	183947656	29	*	X0416	90113	183948317	183960117	11801	+	660	upstream	660	VWA5B2
chr3	186080207	186080251	45	*	X0418	1608	185864990	186080023	215034	-	183	upstream	183	DGKG
chr3	192445148	192445167	20	*	X0419	2257	191857182	192445388	588207	-	0	inside	220	FGF12
chr3	192445583	192445651	69	*	X0420	2257	191857182	192445388	588207	-	194	upstream	194	FGF12
chr3	194030677	194030701	25	*	X0422	100131551	194017424	194030593	13170	-	83	upstream	83	LINC00887
chr3	194992672	194992700	29	*	X0424	152002	194789013	194991895	202883	-	776	upstream	776	XXYLT1
chr3	197476568	197476789	222	*	X0429	84248	197476424	197511317	34894	+	0	inside	143	FYTTD1
chr3	197476568	197476789	222	*	X0429	9711	197398259	197476568	78310	-	0	overlapStart	0	RUBCN
chr4	1004486	1004566	81	*	X0432	53834	1004940	1020686	15747	+	373	upstream	373	FGFRL1
chr4	3768426	3768451	26	*	X0436	152	3768296	3770253	1958	+	0	inside	129	ADRA2C
chr4	15657151	15657201	51	*	X0443	26234	15606007	15657035	51029	-	115	upstream	115	FBXL5
chr4	15779865	15779881	17	*	X0444	952	15779931	15850706	70776	+	49	upstream	49	CD38
chr4	26585357	26585492	136	*	X0445	55296	26585546	26756918	171373	+	53	upstream	53	TBC1D19
chr4	37891858	37891954	97	*	X0446	23216	37892705	38140796	248092	+	750	upstream	750	TBC1D1
chr4	66534068	66534135	68	*	X0447	100144602	66535679	66559104	23426	+	1543	upstream	1543	EPHA5-AS1
chr4	81187628	81187740	113	*	X0451	2250	81187742	81212171	24430	+	1	upstream	1	FGF5
chr4	84406453	84406523	71	*	X0452	84142	84382094	84406290	24197	-	162	upstream	162	ABRAXAS1
chr4	85419464	85419604	141	*	X0453	4825	85414436	85419387	4952	-	76	upstream	76	NKX6-1
chr4	106816593	106816692	100	*	X0456	255743	106816597	106892828	76232	+	0	overlapStart	0	NPNT
chr4	106816818	106817069	252	*	X0457	255743	106816597	106892828	76232	+	0	inside	220	NPNT
chr4	113437048	113437066	19	*	X0463	63973	113434672	113437328	2657	-	0	inside	261	NEUROG2
chr4	113437085	113437105	21	*	X0464	63973	113434672	113437328	2657	-	0	inside	222	NEUROG2
chr4	170948645	170948757	113	*	X0474	9848	170907748	170947429	39682	-	1215	upstream	1215	MFAP3L
chr4	170948809	170948872	64	*	X0475	9848	170907748	170947429	39682	-	1379	upstream	1379	MFAP3L
chr4	177116587	177116599	13	*	X0480	132851	177105725	177116822	11098	-	0	inside	222	SPATA4
chr4	177116611	177116667	57	*	X0481	132851	177105725	177116822	11098	-	0	inside	154	SPATA4
chr4	185747833	185747851	19	*	X0482	2180	185676749	185747215	70467	-	617	upstream	617	ACSL1
chr4	185747933	185747967	35	*	X0483	2180	185676749	185747215	70467	-	717	upstream	717	ACSL1
chr4	186317341	186317508	168	*	X0484	353322	186317840	186321782	3943	+	331	upstream	331	ANKRD37
chr5	891526	891680	155	*	X0489	9319	892969	918164	25196	+	1288	upstream	1288	TRIP13
chr5	7851471	7851499	29	*	X0496	134121	7830491	7851603	21113	-	0	inside	103	C5orf49
chr5	11904896	11904942	47	*	X0497	1501	10971952	11904110	932159	-	785	upstream	785	CTNND2
chr5	37839735	37839738	4	*	X0499	100861519	37840540	37875900	35361	+	801	upstream	801	GDNF-AS1
chr5	37839735	37839738	4	*	X0499	2668	37812779	37839782	27004	-	0	inside	43	GDNF
chr5	38845700	38845941	242	*	X0500	9180	38845960	38935743	89784	+	18	upstream	18	OSMR
chr5	43604058	43604089	32	*	X0513	100652772	43573287	43603332	30046	-	725	upstream	725	NNT-AS1
chr5	43604275	43604292	18	*	X0514	100652772	43573287	43603332	30046	-	942	upstream	942	NNT-AS1
chr5	72793998	72794127	130	*	X0521	689	72794250	72801448	7199	+	122	upstream	122	BTF3
chr5	114880934	114881025	92	*	X0534	56929	114856608	114880591	23984	-	342	upstream	342	FEM1C
chr5	114881040	114881061	22	*	X0535	56929	114856608	114880591	23984	-	448	upstream	448	FEM1C
chr5	121413876	121413960	85	*	X0536	4015	121398890	121414055	15166	-	0	inside	94	LOX
chr5	121414059	121414229	171	*	X0537	4015	121398890	121414055	15166	-	3	upstream	3	LOX
chr5	125936525	125936529	5	*	X0541	51808	125936607	125962944	26338	+	77	upstream	77	PHAX
chr5	129240434	129240664	231	*	X0542	337876	129240523	129522327	281805	+	0	overlapStart	0	CHSY3
chr5	129240820	129240854	35	*	X0543	337876	129240523	129522327	281805	+	0	inside	296	CHSY3
chr5	132113595	132113617	23	*	X0544	23176	132086509	132113561	27053	-	33	upstream	33	SEPTIN8
chr5	137911659	137911679	21	*	X0555	3313	137890571	137911318	20748	-	340	upstream	340	HSPA9
chr5	138677102	138677112	11	*	X0556	51247	138677519	138705409	27891	+	406	upstream	406	PAIP2
chr5	146889780	146889790	11	*	X0565	1809	146770371	146889619	119249	-	160	upstream	160	DPYSL3
chr5	146889838	146889863	26	*	X0566	1809	146770371	146889619	119249	-	218	upstream	218	DPYSL3
chr5	148725268	148725333	66	*	X0569	134266	148724977	148734146	9170	+	0	inside	290	GRPEL2
chr5	149546051	149546101	51	*	X0572	1044	149546344	149564121	17778	+	242	upstream	242	CDX1
chr5	172199552	172199664	113	*	X0583	1843	172195093	172198203	3111	-	1348	upstream	1348	DUSP1
chr5	176829400	176829535	136	*	X0592	345456	176827108	176827637	530	-	1762	upstream	1762	PFN3
chr5	176873421	176873732	312	*	X0593	80758	176873796	176883287	9492	+	63	upstream	63	PRR7
chr5	176925183	176925203	21	*	X0594	9260	176910395	176924602	14208	-	580	upstream	580	PDLIM7
chr5	176981698	176981704	7	*	X0595	54540	176946790	176981548	34759	-	149	upstream	149	FAM193B
chr5	176981720	176981733	14	*	X0596	54540	176946790	176981548	34759	-	171	upstream	171	FAM193B
chr6	1311813	1312089	277	*	X0600	94234	1312675	1314993	2319	+	585	upstream	585	FOXQ1
chr6	1312127	1312390	264	*	X0601	94234	1312675	1314993	2319	+	284	upstream	284	FOXQ1
chr6	3457939	3457963	25	*	X0605	63027	3269207	3456793	187587	-	1145	upstream	1145	SLC22A23
chr6	3457977	3458029	53	*	X0606	63027	3269207	3456793	187587	-	1183	upstream	1183	SLC22A23
chr6	3458232	3458243	12	*	X0607	63027	3269207	3456793	187587	-	1438	upstream	1438	SLC22A23
chr6	3458322	3458368	47	*	X0608	63027	3269207	3456793	187587	-	1528	upstream	1528	SLC22A23
chr6	7726837	7726854	18	*	X0613	654	7727011	7881961	154951	+	156	upstream	156	BMP6
chr6	7726866	7726950	85	*	X0614	654	7727011	7881961	154951	+	60	upstream	60	BMP6
chr6	10412104	10412234	131	*	X0623	100130275	10412551	10416402	3852	+	316	upstream	316	TFAP2A-AS1
chr6	10412303	10412318	16	*	X0624	100130275	10412551	10416402	3852	+	232	upstream	232	TFAP2A-AS1
chr6	27841379	27841412	34	*	X0629	8354	27839623	27840099	477	-	1279	upstream	1279	H3C11
chr6	27841379	27841412	34	*	X0629	8368	27840926	27841289	364	-	89	upstream	89	H4C13
chr6	33560979	33561242	264	*	X0637	401253	33553883	33561115	7233	-	0	overlapStart	0	LINC00336
chr6	33757135	33757148	14	*	X0639	221496	33738990	33756906	17917	-	228	upstream	228	LEMD2
chr6	43197294	43197300	7	*	X0646	10591	43193367	43197211	3845	-	82	upstream	82	DNPH1
chr6	100912493	100912645	153	*	X0659	6492	100836750	100912805	76056	-	0	inside	159	SIM1
chr6	100912658	100912720	63	*	X0660	6492	100836750	100912805	76056	-	0	inside	84	SIM1
chr6	107435434	107435486	53	*	X0662	57673	107386385	107435636	49252	-	0	inside	149	BEND3
chr6	110300033	110300043	11	*	X0664	2830	110300298	110301924	1627	+	254	upstream	254	GPR6
chr6	139613203	139613345	143	*	X0669	167838	139561199	139613208	52010	-	0	overlapStart	0	TXLNB
chr6	150039397	150039416	20	*	X0671	9113	149979289	150039392	60104	-	4	upstream	4	LATS1
chr6	166401450	166401469	20	*	X0677	90632	166337536	166401527	63992	-	0	inside	57	LINC00473
chr6	166401485	166401575	91	*	X0678	90632	166337536	166401527	63992	-	0	overlapStart	0	LINC00473
chr7	191651	191895	245	*	X0688	56975	192969	300740	107772	+	1073	upstream	1073	FAM20C
chr7	855210	855244	35	*	X0689	23353	855194	914557	59364	+	0	inside	15	SUN1
chr7	855300	855345	46	*	X0690	23353	855194	914557	59364	+	0	inside	105	SUN1
chr7	3340374	3340430	57	*	X0694	221935	3341080	4308631	967552	+	649	upstream	649	SDK1
chr7	5466888	5466895	8	*	X0700	84629	5346423	5465045	118623	-	1842	upstream	1842	TNRC18
chr7	5632697	5632730	34	*	X0701	6624	5632436	5646287	13852	+	0	inside	260	FSCN1
chr7	12726067	12726099	33	*	X0704	10124	12726452	12730558	4107	+	352	upstream	352	ARL4A
chr7	12726229	12726286	58	*	X0705	10124	12726452	12730558	4107	+	165	upstream	165	ARL4A
chr7	15726393	15726475	83	*	X0706	4223	15650837	15726308	75472	-	84	upstream	84	MEOX2
chr7	21985582	21985750	169	*	X0708	55536	21940517	21985542	45026	-	39	upstream	39	CDCA7L
chr7	21985888	21985912	25	*	X0709	55536	21940517	21985542	45026	-	345	upstream	345	CDCA7L
chr7	22766975	22767034	60	*	X0712	3569	22766766	22771621	4856	+	0	inside	208	IL6
chr7	35226462	35226515	54	*	X0719	554236	35120899	35225774	104876	-	687	upstream	687	DPY19L2P1
chr7	43965860	43965959	100	*	X0721	51619	43966035	43995735	29701	+	75	upstream	75	UBE2D4
chr7	43965860	43965959	100	*	X0721	55665	43915501	43965996	50496	-	0	inside	36	URGCP
chr7	66385770	66386111	342	*	X0729	55069	66386203	66423538	37336	+	91	upstream	91	TMEM248
chr7	73184246	73184483	238	*	X0737	1365	73183327	73184600	1274	-	0	inside	116	CLDN3
chr7	76026853	76027025	173	*	X0739	7784	76026841	76071388	44548	+	0	inside	11	ZP3
chr7	84816455	84816549	95	*	X0741	223117	84624872	84816171	191300	-	283	upstream	283	SEMA3D
chr7	87257388	87257546	159	*	X0742	154661	87257729	87461613	203885	+	182	upstream	182	RUNDC3B
chr7	87936300	87936307	8	*	X0744	79689	87905744	87936228	30485	-	71	upstream	71	STEAP4
chr7	100808746	100808788	43	*	X0748	7425	100805790	100808852	3063	-	0	inside	63	VGF
chr7	101457617	101457704	88	*	X0750	1523	101459184	101927250	468067	+	1479	upstream	1479	CUX1
chr7	105753065	105753161	97	*	X0751	6856	105730814	105753093	22280	-	0	overlapStart	0	SYPL1
chr7	107302324	107302364	41	*	X0752	286002	107296961	107302243	5283	-	80	upstream	80	SLC26A4-AS1
chr7	107302446	107302461	16	*	X0753	286002	107296961	107302243	5283	-	202	upstream	202	SLC26A4-AS1
chr7	112430594	112430668	75	*	X0756	64418	112405787	112430478	24692	-	115	upstream	115	TMEM168
chr7	116963064	116963137	74	*	X0758	7472	116916686	116963343	46658	-	0	inside	205	WNT2
chr7	116963174	116963423	250	*	X0759	7472	116916686	116963343	46658	-	0	overlapStart	0	WNT2
chr7	116963521	116963587	67	*	X0760	7472	116916686	116963343	46658	-	177	upstream	177	WNT2
chr7	128095676	128095697	22	*	X0765	29923	128095884	128098472	2589	+	186	upstream	186	HILPDA
chr7	138720635	138720848	214	*	X0766	92092	138710452	138720775	10324	-	0	overlapStart	0	ZC3HAV1L
chr7	138721010	138721042	33	*	X0767	92092	138710452	138720775	10324	-	234	upstream	234	ZC3HAV1L
chr7	140772135	140772411	277	*	X0770	100507421	140774032	141180179	406148	+	1620	upstream	1620	TMEM178B
chr7	145812806	145812850	45	*	X0771	26047	145813453	148118088	2304636	+	602	upstream	602	CNTNAP2
chr7	150865268	150865398	131	*	X0777	2636	150845676	150864867	19192	-	400	upstream	400	GBX1
chr7	150974381	150974621	241	*	X0780	6604	150936059	150974231	38173	-	149	upstream	149	SMARCD3
chr7	151107821	151107955	135	*	X0781	349136	151078207	151107740	29534	-	80	upstream	80	WDR86
chr7	151217456	151217628	173	*	X0782	6009	151163098	151217010	53913	-	445	upstream	445	RHEB
chr7	151572414	151572434	21	*	X0783	100505483	151574127	151576308	2182	+	1692	upstream	1692	PRKAG2-AS1
chr7	151572598	151572717	120	*	X0784	100505483	151574127	151576308	2182	+	1409	upstream	1409	PRKAG2-AS1
chr7	151573481	151573503	23	*	X0785	100505483	151574127	151576308	2182	+	623	upstream	623	PRKAG2-AS1
chr7	154862106	154862113	8	*	X0786	3361	154862034	154879102	17069	+	0	inside	71	HTR5A
chr7	155604849	155604920	72	*	X0789	6469	155592736	155604967	12232	-	0	inside	46	SHH
chr8	20054598	20054672	75	*	X0794	526	20054704	20079207	24504	+	31	upstream	31	ATP6V1B2
chr8	22408644	22408864	221	*	X0799	10174	22409251	22433008	23758	+	386	upstream	386	SORBS3
chr8	22455555	22455899	345	*	X0801	541565	22457114	22461662	4549	+	1214	upstream	1214	C8orf58
chr8	27472174	27472179	6	*	X0803	1191	27454434	27472328	17895	-	0	inside	148	CLU
chr8	37654207	37654281	75	*	X0808	25960	37654401	37701504	47104	+	119	upstream	119	ADGRA2
chr8	38326359	38326396	38	*	X0809	2260	38268656	38326352	57697	-	6	upstream	6	FGFR1
